x=-0.10E+01, f(x)= 0.00E+00
x=-0.90E+00, f(x)= 0.10E+00
x=-0.80E+00, f(x)= 0.20E+00
x=-0.70E+00, f(x)= 0.30E+00
x=-0.60E+00, f(x)= 0.40E+00
x=-0.50E+00, f(x)= 0.50E+00
x=-0.40E+00, f(x)= 0.60E+00
x=-0.30E+00, f(x)= 0.70E+00
x=-0.20E+00, f(x)= 0.80E+00
x=-0.10E+00, f(x)= 0.90E+00
x= 0.00E+00, f(x)= 0.10E+01
x= 0.10E+00, f(x)= 0.90E+00
x= 0.20E+00, f(x)= 0.80E+00
x= 0.30E+00, f(x)= 0.70E+00
x= 0.40E+00, f(x)= 0.60E+00
x= 0.50E+00, f(x)= 0.50E+00
x= 0.60E+00, f(x)= 0.40E+00
x= 0.70E+00, f(x)= 0.30E+00
x= 0.80E+00, f(x)= 0.20E+00
x= 0.90E+00, f(x)= 0.10E+00
x= 0.10E+01, f(x)= 0.00E+00
